Old,Year,New,,
ons/about-ons/business-transparency/corrections-to-data/qna-q1-2013/index.html,2013,TNA,,
ons/about-ons/business-transparency/corrections-to-data/qna-q1-and-q2-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/quality-adjusted-labour-input--estimates-to-2010/index.html,2010,TNA,,
ons/about-ons/business-transparency/corrections-to-data/quarterly-household-release---q4-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/queen-s-diamond-jubilee/index.html,,TNA,,
ons/about-ons/business-transparency/corrections-to-data/regional-analysis-of-public-sector-employment--2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/regional-gross-value-added/index.html,,TNA,,
ons/about-ons/business-transparency/corrections-to-data/regional-labour-market-apr-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/regional-profiles-feb-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/regional-profiles-may-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/regional-profiles---population-and-migration-tables-oct-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/retail-sales-july-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/second-estimate-of-gdp-q4-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/sickness-absence-may-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/the-economic-position-of-households-q1-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/ukea-q1-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/ukea-q1-2012--2-/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/ukea-q1-2013/index.html,2013,TNA,,
ons/about-ons/business-transparency/corrections-to-data/ukea-q2-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/ukea-q3-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/ukea-q4-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/uk-economic-accounts-q1-and-q2-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/uk-economic-accounts-q4-2011/index.html,2011,TNA,,
ons/about-ons/business-transparency/corrections-to-data/uk-environmental-accounts-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/corrections-to-data/uk-trade--april-2014/index.html,2014,TNA,,
ons/about-ons/business-transparency/corrections-to-data/uk-trade-january-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/freedom-of-information/data-available-on-request/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/data-available-on-request/life-events-data.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/how-to-make-a-foi/access-to-personal-data/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/how-to-make-a-foi/index.html,,aboutus/transparencyandgovernance/freedomofinformationfoi/makingarequest,,
ons/about-ons/business-transparency/freedom-of-information/index.html,,aboutus/transparencyandgovernance/freedomofinformationfoi,,
ons/about-ons/business-transparency/freedom-of-information/ons-charging-policy/index.html,,aboutus/whatwedo/statistics/publicationscheme,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/archive/disclosure-log-dec-11/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/archive/disclosure-log-nov-11/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/business-data---local-authorities/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/checking-if-a-particular-company-is-vat-registered/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/correspondence-relating-to-decision-to-consult-on-rpi/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/cost-indices-from-1990-to-2010/index.html,2010,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/database-of-all-registered-companies-with-matching-sic-code/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/data-on-clothing-and-footwear-sales/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/data-supplied-to-ons-s-monthly-wages-and-salaries-survey/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/dates-of-release-for-the-cpi-march-2005-and-december-2013/index.html,2005,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/guidelines-and-methodology/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/ict-contract-s--for-storage-hardware-maintenance-and-storage/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/imputed-rents-in-national-accounts--more-information-/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/information-relating-to-fixed-telecommunications-and-internet-services/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/interdepartmental-business-register/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/international-trade-in-services-survey/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/list-of-vat-registered-companies-in-the-uk/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/liverpool-broadband-uptake-during-go-on-campaign/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/migration-of-businesses-since-1985/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/mobile-phone-and-pbx-voip-maintenance-contracts/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/number-of-local-units-in-vat-and-or-paye-based-enterprises/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/ons-catering/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/ons-electricity-usage/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/ppi-for-the-united-kingdom-for-the-period-covering-jan--2005---dec--2009/index.html,2005,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/response-to-request-for-vat-registered-number-that-bmi--british-midland-international--had-/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/rp02-retail-prices-index--rpi-/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/spending-on-advertising/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/state-pension-and-other-other-pension-obligations/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/statistics-of-trade-act-sme-returns-and-prosecutions/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/the-cost-of-running-ons/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/vat-registered-businesses-10-11-and-11-12-in-lep-area/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/volume-of-consumption-for-different-types-of-products/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/business--industry-and-trade/wi-fi-contract/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/2012-pink-book/index.html,2012,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/all-correspondence-and-reports-within-uk-statistics-authority--uksa-/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/annual-spend-on-legal-counsel/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/assessments-and-analyses-of-gdp-accuracy-or-reliability/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/average-state-pension-for-people-who-have-never-been-contracted-out-of-state/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/bdb-version-template-version-017/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/bdb-version-template-version-017-released-on-6-1-12/index.html,,TNA,,
